seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,1,0.704437673,3.75344181,7.28067589,8,2.71948028,-71.8152847,-56.5841599,0.016646076,0.041382201,0.0621215887,11.9621582,2878.94482,0,0,21.3764725,4.49326611,2.53610945,2.39118266
11001,1,0.631792247,2.73024583,6.20436525,8,0.366841108,7.03031921,-71.0240326,0.0249945167,0.0272538476,0.0897262394,33.9876022,4063.80225,0,0,11.0747643,5.79554272,2.13973737,0.523247421
11001,1,0.816398799,4.51902866,6.28743601,8,3.4476192,-64.868103,-33.0896835,0.0124223894,0.0531115234,0.0989238992,42.4551468,1350.7605,0,0,165.415833,1.5913763,1.9135102,26.9851589
11001,1,1.79665899,5.22320747,6.34611034,8,2.95563579,-72.0208206,-15.3742905,0.0211503096,0.00645870529,0.0327698924,7.13515472,3488.71606,-4,1,226.345337,1.17027402,1.61816132,37.2594833
11001,1,0.683025301,5.26013184,7.12079239,8,0.181578949,-47.1541328,63.5740356,0.00802969839,0.0253916793,0.0222971104,-57.1152496,1508.62366,4,-4,287.436707,1.24112642,2.17355442,47.3370056
11001,1,2.03487682,3.13965845,6.49996948,8,3.59695411,-17.7327194,77.9280396,0.0298216529,0.0361941308,0.0525899678,22.067749,1902.2876,0,0,67.5877991,9.16208935,2.42029595,9.33423615
11001,1,1.27612543,3.4835906,5.57496309,8,3.56283808,-14.2277985,-13.3887329,0.0164866149,0.0872359499,0.0589634366,-49.1368179,4961.52783,0,0,13.9692039,7.45704079,4.03867769,0.412247539
11001,1,1.88618696,5.42343998,7.95326614,8,0.222099796,43.7361984,-10.2059097,0.0103420671,0.0416272432,0.0761451498,13.5876007,4081.39233,0,0,325.290619,1.64187515,2.044734,53.6006699
11001,1,1.61961377,2.22330546,7.82196331,8,3.05114818,61.082016,-29.4534988,0.0259295423,0.0668520182,0.0543080904,57.6172791,4632.78564,0,0,110.962799,49.3033943,5.6618619,9.33292389
11001,1,2.310812,3.21666455,7.76493835,8,2.05391002,-79.0603561,-23.4695663,0.0173685886,0.0116880657,0.0807989016,25.1902161,3080.0481,0,0,143.019272,1.74905133,2.45089102,23.1365528
11001,1,0.679998457,2.82177711,6.51036739,8,1.23977757,49.1270752,-51.0469284,0.00998808444,0.0233776495,0.0694781989,-11.5383873,3362.09375,0,0,13.5727606,10.716815,2.41961122,0.0727223754
11001,1,0.498415768,3.91037178,6.60684872,8,1.05224597,-15.0349731,-40.9400101,0.0265567973,0.0939932689,0.0876895934,-1.36128616,4041.28784,0,0,14.4504242,9.42291451,4.01458502,0.168820634
11001,1,1.01290131,3.70206475,5.91060972,8,0.0208100062,-2.44187927,85.184433,0.0117853601,0.0287522264,0.0494598374,-30.7756577,2120.47656,0,0,231.813873,1.69561291,2.34857416,37.9616127
11001,1,1.52946067,3.71533728,7.55899429,8,2.53833127,-15.2564163,-37.7898254,0.0187645052,0.0999555066,0.0719737187,-59.536171,2139.06104,0,0,14.5104561,6.03905344,3.63335991,0.806340337
11001,1,2.48497033,5.48289967,5.94425631,8,3.7673912,-9.51927948,-6.36649323,0.0218402203,0.0477939807,0.0404071547,53.261322,3855.64136,5,-1,382.152618,1.09888303,3.05893946,62.9991341
11001,1,0.326935202,2.22501993,5.88804913,8,1.41900659,-46.3405113,-71.4760895,0.00338329002,0.0426365547,0.0654349104,-37.9558716,1122.96729,5,-6,19.0766544,1.01786661,2.37783027,2.61349297
11001,1,1.37461722,4.79499435,6.2231884,8,0.880101383,11.1103973,67.8560181,0.00814468879,0.043999169,0.0465265885,44.1013184,2150.93433,0,0,178.950958,1.75303268,2.04743886,29.1917458
11001,1,1.72742772,3.41457963,6.2141633,8,0.719750762,-18.3057709,-14.9193497,0.00663198065,0.0967712998,0.0854084566,-48.5039062,2224.98755,0,0,18.662014,4.38188744,3.15090513,1.8548702
11001,1,2.45219421,3.38786507,7.33149815,8,0.422785401,47.5855713,35.5140762,0.0111809392,0.0587086901,0.0740597248,-12.8567085,120.798492,0,0,921.027527,1.78509879,2.51074362,152.78862
11001,1,1.75623715,4.96120358,5.53884172,8,2.4266665,49.8227081,43.0802307,0.0223774388,0.0528311208,0.0693590865,33.0081635,3246.75903,0,0,127.941185,1.7263397,2.18210363,20.672123
11001,1,2.05626297,5.13477707,6.56499863,8,1.24307108,76.932663,65.3312531,0.0106835784,0.0652257875,0.0541266836,-16.7599907,1303.70398,0,0,391.405792,1.60393298,2.62498331,64.52948
11001,1,1.13891721,3.38257027,7.82144403,8,2.59004021,28.0469971,-84.1830444,0.0187913701,0.0569202825,0.0727051198,23.1086731,1514.04187,0,0,19.73736,13.0067883,1.76824808,0.827054083
11001,1,1.79715586,3.19723558,6.70234013,8,3.64202023,-1.62471008,17.8602066,0.0145114167,0.0224457718,0.0874393955,20.4323654,555.075439,0,0,311.728088,1.74007833,2.18352652,51.3007469
11001,1,1.07929218,3.54697895,7.99168015,8,3.67682791,68.0964813,-33.5104179,0.0075263679,0.0708356798,0.0944702849,40.1781998,3462.37012,0,0,13.1604347,7.92959547,2.6905117,0.423387825
11001,1,2.2380631,3.27415991,7.20849705,8,2.90451407,67.5738678,51.8252258,0.0181541108,0.0636401698,0.0236478262,54.9274979,1605.62805,0,0,86.2963409,1.79366589,2.24972153,13.7088251
11001,1,1.08039618,3.63424921,7.2805171,8,1.10018802,48.2349548,39.4972229,0.0253766216,0.0839753747,0.0490757041,-49.1896286,3512.73047,0,0,28.4464588,16.1296501,5.47836351,1.13974094
11001,1,2.31717801,4.37447453,7.26861668,8,1.11762452,-49.7614326,-4.36646271,0.0162178073,0.0248193592,0.0805883184,-32.7531471,1353.78809,0,0,990.478638,1.78332937,2.575804,164.353256
11001,1,1.07390475,4.00262785,7.71865463,8,3.17394805,-74.5583725,20.9929504,0.0150186047,0.0620442517,0.0368368626,-24.7666168,1690.56592,0,0,19.9880905,7.56991386,3.53298926,1.48086441
