seed,table_row,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,62,2.03310013,3.13600016,6.48250008,8,0.936000049,-15.3600006,-37.7999954,0.018744003,0.0999050066,0.0718800053,-59.6399994,2138.3999,-7,-5,4.48569298,1.29812706,1.83382618,0.225623265
11001,105,2.03310013,3.13600016,6.48250008,8,0.936000049,-15.3600006,-37.7999954,0.018744003,0.0999050066,0.0718800053,-59.6399994,2138.3999,-7,-5,4.48569298,1.29812706,1.83382618,0.225623265
11001,132,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.85408115,1.0880574,2.37548327,0.0650900826
11001,169,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.85408115,1.0880574,2.37548327,0.0650900826
11001,178,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,189,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,24.1200027,4524.7002,5,-6,5.22654247,1.05089045,2.53310251,0.273758203
11001,233,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,253,1.62830019,3.90799999,6.60500002,8,0.972000062,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.84882069,1.18224657,2.31419969,0.0587290861
11001,284,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.96334457,1.0909462,2.39886713,0.0789218619
11001,290,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.85408115,1.0880574,2.37548327,0.0650900826
11001,298,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,323,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.96334457,1.0909462,2.39886713,0.0789218619
11001,350,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,2765.6001,5,-6,4.31907892,1.15817606,2.42608547,0.122469574
11001,355,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-36.5999985,4745.2002,5,-6,4.19777679,1.06959152,2.59236598,0.0893032178
11001,359,0.570300043,3.22399998,7.36750031,8,1.12,-52.3199997,88.0200043,0.00522000017,0.0825200081,0.0867950097,42.1200027,4916.7002,0,0,5.0960083,1.7539233,2.08791327,0.209028557
11001,362,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,373,0.496699989,3.90799999,6.53000021,8,2.67200017,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.80995417,1.09907925,2.37279391,0.0563468337
11001,380,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.96334457,1.0909462,2.39886713,0.0789218619
11001,381,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,386,0.496699989,3.90799999,6.53000021,8,2.67200017,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0962950066,42.1200027,4916.7002,0,0,4.9631319,1.66440856,2.2631309,0.172598749
11001,393,1.27410007,3.48000002,5.57250023,8,3.56800008,48.6399994,-52.1999969,0.018744003,0.0947750062,0.0943950042,-36.5999985,4745.2002,0,0,4.75097752,1.97765362,2.51050973,0.0438023582
11001,398,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-45,2594.1001,0,0,4.12506104,1.69348395,2.27492738,0.0261083096
11001,411,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-36.5999985,4745.2002,5,-6,4.19777679,1.06959152,2.59236598,0.0893032178
11001,412,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,425,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,435,0.496699989,3.90799999,6.53000021,8,2.67200017,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0962950066,42.1200027,4916.7002,0,0,4.9631319,1.66440856,2.2631309,0.172598749
11001,436,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,441,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4456.1001,-5,-6,3.64818478,1.17926657,2.32014942,0.0247948188
11001,450,1.07169998,4,6.53000021,8,2.67200017,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0943950042,15.3600006,3779.90015,5,-6,4.39559746,1.17734194,2.43182468,0.131071836
11001,452,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0159440003,0.0918300077,0.0878400058,-20.9999962,4426.7002,5,-6,5.1151886,1.44924235,2.86813188,0.132969081
11001,455,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,24.1200027,4745.2002,5,-6,5.10974693,1.03772247,2.57668233,0.249223754
11001,456,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.85408115,1.0880574,2.37548327,0.0650900826
11001,485,1.27410007,3.48000002,5.57250023,8,3.56800008,48.6399994,-52.1999969,0.018744003,0.0947750062,0.0943950042,-47.8799973,4745.2002,5,-6,5.03335857,1.06299603,2.91863036,0.175288692
11001,486,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,487,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-45,2594.1001,0,0,4.12506104,1.69348395,2.27492738,0.0261083096
11001,489,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4456.1001,-5,-6,3.64818478,1.17926657,2.32014942,0.0247948188
11001,491,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,35.4000015,4745.2002,5,-5,4.37557602,1.24527061,2.49272966,0.106262639
11001,494,0.496699989,3.90799999,6.53000021,8,2.67200017,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,25.0800095,3079.2002,5,-6,3.80995417,1.09907925,2.37279391,0.0563468337
11001,499,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,503,1.62830019,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0949650034,42.1200027,4941.2002,0,0,4.45379734,1.67408943,2.37819934,0.0669180453
11001,520,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4745.2002,-5,-6,3.44697618,1.02862787,2.36955357,0.00813245121
11001,529,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0947750062,0.0943950042,-45,2594.1001,0,0,4.12506104,1.69348395,2.27492738,0.0261083096
11001,530,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0918300077,0.0878400058,-20.9999962,4426.7002,-5,-6,3.68282557,1.19007063,2.31748605,0.0292114746
11001,538,0.496699989,3.90799999,6.60500002,8,0.972000062,-70.5599976,-57.9599991,0.0160280019,0.0947750062,0.0878400058,-20.9999962,4426.7002,0,0,4.86811638,2.07670331,2.52275348,0.0447766595
